
2025/04/11 (17:42:32) | ===> btop++ v.1.4.0
2025/04/11 (17:42:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/11 (21:45:05) | ===> btop++ v.1.4.0
2025/04/11 (21:45:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/11 (21:45:37) | ===> btop++ v.1.4.0
2025/04/11 (21:45:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/16 (05:57:37) | ===> btop++ v.1.4.0
2025/04/16 (05:57:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/16 (05:57:52) | ===> btop++ v.1.4.0
2025/04/16 (05:57:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/04/16 (05:58:35) | INFO: Logger set to INFO
2025/04/16 (05:58:35) | INFO: Logger set to INFO
2025/04/16 (05:58:35) | INFO: Logger set to DEBUG
2025/04/16 (05:58:36) | INFO: Logger set to INFO
